"Name","vCenter","SRM Placeholder","Hostname fqdn","Power state","Os System from Tools","OS System","Environment","Business Application","CICollection","Functional Group","OS Technical Maintainer","CostRecoveryMode","Organization","Office_Department","RFS","Notes"
"remi-d-app-01","BDSVI-D-VCC-01","false","remi-d-app-01.global.un.org","Powered On","Microsoft Windows 11 (64-bit)","Microsoft Windows 10 (64-bit)","-","-","-","-","-","-","-","-","-",""
"csapp-d-sql-41_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"csapp-d-iis-41_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"win19-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","-","-","-","-","-","-","-","-","-",""
"mate-d-sql-01","BDSVI-D-VCC-01","false","mate-d-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","TeamMate","TeamMate - DEV","OICT Server per APP","PSU HCO Hybrid Cloud Operations","Hosting","OICT","oict osd sos","RFS-1-12717933829",""
"csap-d-db-01_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"spum-f-sql-01","BDSVI-D-VCC-01","false","spum-f-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","development","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - DEV","OICT/ESS/EAC-Americas","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12587258027",""
"alm-q-sql-01","BDSVI-D-VCC-01","false","alm-q-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
"spum-g-sql-01","BDSVI-D-VCC-01","false","spum-g-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Preproduction","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - PRE","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12650078811",""
"alm-q-utl-01","BDSVI-D-VCC-01","false","alm-q-utl-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
"avn-d-app-01","BDSVI-D-VCC-01","false","avn-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","MINUSMA-AVIATION E-Services","Aviation e-Services - DEV","MINUSMA Aviation","PSU HCO Hybrid Cloud Operations","Hosting","MINUSMA","","-","RFS-1-10929543127"
"spum-s-sql-02","BDSVI-D-VCC-01","false","spum-s-sql-02.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - QA","OICT Server per App","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12681259271",""
"soc-d-sql-01","BDSVI-D-VCC-01","false","soc-d-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","Contributions Assessment","Contributions Assessments - DEV","OICT Application Rationalization","PSU HCO Hybrid Cloud Operations","Hosting","OICT","dmspc/oppfb","RFS-1-12329594866",""
"mate-d-app-01","BDSVI-D-VCC-01","false","mate-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","TeamMate","TeamMate - DEV","OICT Server per APP","PSU HCO Hybrid Cloud Operations","Hosting","OICT","oict osd sos","RFS-1-12717933829",""
"spum-g-sql-03","BDSVI-D-VCC-01","false","spum-g-sql-03.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Preproduction","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - PRE","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12650078811",""
"soc-d-app-01","BDSVI-D-VCC-01","false","soc-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","Contributions Assessment","Contributions Assessments - DEV","OICT Application Rationalization","PSU HCO Hybrid Cloud Operations","Hosting","OICT","dmspc/oppfb","RFS-1-12329594866",""
"spum-s-sql-01","BDSVI-D-VCC-01","false","spum-s-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - QA","OICT Server per App","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12681259271",""
"alm-q-app-01","BDSVI-D-VCC-01","false","alm-q-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
