VM_Name,Cluster,Environment,Functional_Group,IP_Address,Location,Organization,OS,OS_Technical_Maintainer,Technology,THS deployment,THS_System covered by GRR,THS_System covered by Sysmon,THS_System logs shipped,UUID,Application,CICollection,Status
UNFPA-P-WEB-01,BDSVI-Prod-G11,Production,CSDS SSU - Solutions and Support Unit,10.128.128.214,Brindisi,UNFPA,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,Unknown,UNFPA Population Data Platform,UNFPA - PRD,Existing
GIS-R-SQL-01,bdsvi-p-pve-04,Production,Database Services Support (BSC-ASU-DS),10.129.75.36,Brindisi,UNGSC,linux9,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,049dd617-15f5-4277-8c09-43f8316f378d,UN Geoportal,Unknown,Removed
SPSE-E-IIS-01,vlcvi-p-pve-11,Preproduction,OICT MEG Collaboration,10.130.105.171,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,057609f3-f444-47bf-8f86-3e872458fbe6,OSLA Case Management System,OSLAW - PRE,Removed
UNVMC-B-DC,bdsvi-p-pve-05,Production,PSU HCO Hybrid Cloud Operations,10.130.204.42,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,092f670c-4565-4574-88d3-692ab47bd9b8,Active Directory,Active Directory Domain Services,Removed
SPCOM-P-SG-11,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.168,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,0abce20c-90e0-4399-8c40-d90aaf06839b,Comet,Unknown,Removed
SPCOM-P-SG-03,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.65,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,0e4bc91f-777b-453c-a09c-0cd71506642a,Comet,Unknown,Removed
AD-D-DC-02,bdsvi-p-pve-01,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,114e15db-d10c-4fb5-bfc0-e674bd901039,Unknown,Unknown,Removed
SPCOM-P-SG-12,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.169,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,12442161-3229-48df-bfa1-0bc14b301c8d,Comet,Unknown,Removed
DEVOP-E-APP-02,vlcvi-p-pve-11,Unknown,Unknown,10.130.84.24,Valencia,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,125a9536-4447-44c8-87ce-d70fa8f96422,Unknown,Unknown,Removed
ELK-D-IS-01,vlcvi-p-pve-03,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,13fe6196-4df0-41a3-8464-a4b0cd7d414d,Unknown,Unknown,Removed
